County,Abs_PM,Length,Latitude,Longitude
Washington,14.67,0.06,37.16,-113.47
Washington,14.72,0.06,37.16,-113.47
Washington,14.73,0.04,37.16,-113.47
Washington,14.77,0.05,37.16,-113.47
Washington,14.78,0.03,37.16,-113.46
Washington,14.81,0.05,37.16,-113.46
Washington,14.82,0.04,37.16,-113.47
Washington,14.85,0.04,37.16,-113.47
Washington,14.86,0.11,37.16,-113.46
Washington,14.89,0.05,37.16,-113.47
Washington,14.94,0.01,37.16,-113.46
Washington,14.95,0.08,37.16,-113.46
Washington,14.97,0.10,37.16,-113.46
Washington,15.03,0.04,37.16,-113.46
Washington,15.06,0.03,37.16,-113.46
Washington,15.08,0.05,37.16,-113.46
Washington,15.10,0.02,37.16,-113.46
Washington,15.12,0.04,37.16,-113.46
Washington,15.12,0.07,37.16,-113.46
Washington,15.16,0.02,37.16,-113.46
Washington,15.19,0.05,37.16,-113.46
Washington,15.20,0.05,37.16,-113.46
Washington,15.23,0.04,37.16,-113.46
Washington,15.24,0.06,37.16,-113.46
Washington,15.27,0.04,37.16,-113.46
Washington,15.30,0.06,37.16,-113.46
Washington,15.31,0.02,37.16,-113.46
Washington,15.32,0.10,37.16,-113.46
Washington,15.36,0.09,37.16,-113.46
Washington,15.43,0.04,37.16,-113.46
Washington,15.45,0.07,37.17,-113.45
Washington,15.47,0.05,37.17,-113.46
Washington,15.52,0.04,37.17,-113.45
Washington,15.52,0.04,37.17,-113.46
Washington,15.56,0.03,37.17,-113.45
Washington,15.56,0.05,37.17,-113.45
Washington,15.59,0.02,37.17,-113.45
Washington,15.61,0.05,37.17,-113.45
Washington,15.62,0.05,37.17,-113.45
Washington,15.65,0.11,37.17,-113.45
Washington,15.67,0.08,37.17,-113.45
Washington,15.75,0.03,37.17,-113.45
Washington,15.76,0.03,37.17,-113.45
Washington,15.78,0.11,37.17,-113.45
Washington,15.79,0.06,37.17,-113.45
Washington,15.86,0.09,37.17,-113.45
Washington,15.89,0.19,37.17,-113.45
Washington,15.95,0.07,37.17,-113.45
Washington,16.02,0.06,37.17,-113.45
Washington,16.08,0.27,37.17,-113.44
Washington,16.08,0.05,37.17,-113.45
Washington,16.13,0.05,37.17,-113.45
Washington,16.17,0.07,37.17,-113.44
Washington,16.24,0.05,37.17,-113.44
Washington,16.29,0.20,37.17,-113.44
Washington,16.35,0.08,37.17,-113.44
Washington,16.42,0.08,37.17,-113.44
Washington,16.49,0.05,37.17,-113.44
Washington,16.50,0.03,37.17,-113.44
Washington,16.53,0.09,37.17,-113.44
Washington,16.54,0.03,37.17,-113.44
Washington,16.57,0.06,37.17,-113.44
Washington,16.62,0.03,37.17,-113.43
Washington,16.64,0.06,37.17,-113.44
Washington,16.65,0.03,37.17,-113.43
Washington,16.68,0.09,37.17,-113.43
Washington,16.69,0.04,37.17,-113.44
Washington,16.73,0.05,37.17,-113.44
Washington,16.76,0.07,37.17,-113.43
Washington,16.78,0.06,37.17,-113.43
Washington,16.83,0.04,37.17,-113.43
Washington,16.84,0.06,37.17,-113.43
Washington,16.87,0.10,37.17,-113.43
Washington,16.90,0.06,37.17,-113.43
Washington,16.95,0.06,37.17,-113.43
Washington,16.97,0.08,37.18,-113.43
Washington,17.01,0.04,37.18,-113.43
Washington,17.05,0.07,37.18,-113.43
Washington,17.05,0.03,37.18,-113.43
Washington,17.08,0.06,37.18,-113.43
Washington,17.12,0.09,37.18,-113.43
Washington,17.13,0.04,37.18,-113.43
Washington,17.18,0.07,37.18,-113.43
Washington,17.22,0.08,37.18,-113.42
Washington,17.24,0.04,37.18,-113.43
Washington,17.28,0.04,37.18,-113.43
Washington,17.30,0.13,37.18,-113.42
Washington,17.33,0.05,37.18,-113.43
Washington,17.37,0.06,37.18,-113.42
Washington,17.43,0.05,37.18,-113.42
Washington,17.43,0.07,37.18,-113.42
Washington,17.48,0.02,37.18,-113.42
Washington,17.50,0.09,37.18,-113.42
Washington,17.50,0.04,37.18,-113.42
Washington,17.54,0.04,37.18,-113.42
Washington,17.58,0.04,37.18,-113.42
Washington,17.59,0.06,37.18,-113.42
Washington,17.62,0.06,37.18,-113.42
Washington,17.65,0.07,37.18,-113.42
Washington,17.67,0.01,37.18,-113.42
Washington,17.68,0.05,37.18,-113.42
Washington,17.71,0.08,37.18,-113.42
Washington,17.73,0.05,37.18,-113.42
Washington,17.78,0.04,37.18,-113.42
Washington,17.80,0.03,37.18,-113.42
Washington,17.82,0.03,37.18,-113.42
Washington,17.82,0.02,37.18,-113.42
Washington,17.84,0.03,37.18,-113.41
Washington,17.85,0.04,37.18,-113.42
Washington,17.87,0.07,37.18,-113.41
Washington,17.89,0.03,37.18,-113.42
Washington,17.92,0.02,37.18,-113.42
Washington,17.94,0.06,37.18,-113.41
Washington,17.94,0.02,37.18,-113.42
Washington,17.96,0.04,37.18,-113.42
Washington,18.00,0.09,37.18,-113.42
Washington,18.00,0.09,37.18,-113.41
Washington,18.09,0.02,37.18,-113.41
Washington,18.09,0.07,37.18,-113.41
Washington,18.11,0.03,37.18,-113.41
Washington,18.14,0.04,37.18,-113.41
Washington,18.16,0.04,37.18,-113.41
Washington,18.18,0.02,37.18,-113.41
Washington,18.20,0.03,37.18,-113.41
Washington,18.21,0.02,37.18,-113.41
Washington,18.22,0.03,37.18,-113.41
Washington,18.24,0.01,37.19,-113.41
Washington,18.25,0.02,37.19,-113.41
Washington,18.26,0.11,37.19,-113.41
Washington,18.27,0.04,37.19,-113.41
Washington,18.31,0.02,37.19,-113.41
Washington,18.33,0.04,37.19,-113.41
Washington,18.36,0.06,37.19,-113.41
Washington,18.37,0.03,37.19,-113.41
Washington,18.40,0.04,37.19,-113.41
Washington,18.43,0.09,37.19,-113.41
Washington,18.44,0.04,37.19,-113.41
Washington,18.48,0.07,37.19,-113.41
Washington,18.51,0.19,37.19,-113.41
Washington,18.55,0.04,37.19,-113.41
Washington,18.59,0.04,37.19,-113.41
Washington,18.62,0.11,37.19,-113.41
Washington,18.70,0.08,37.19,-113.41
Washington,18.73,0.01,37.19,-113.41
